"lat"	"lon"	"elevation"	"timestamps"
65.4440926574171	-19.6683906856924	508.93	2023-03-24 10:25:15
65.4440829344094	-19.668368473649	509.04	2023-03-24 10:25:31
65.4440769832581	-19.6683205291629	508.08	2023-03-24 10:25:33
65.4440479818732	-19.6682185214013	506.64	2023-03-24 10:25:48
65.4440447129309	-19.6682027634233	507.36	2023-03-24 10:25:57
65.4440035577863	-19.668053817004	506.59	2023-03-24 10:26:04
65.4439062438905	-19.6677013579756	504.84	2023-03-24 10:26:19
65.4438183177263	-19.6673914790154	503.28	2023-03-24 10:26:33
65.44373575598	-19.6671079192311	501.96	2023-03-24 10:26:45
65.4436473269016	-19.6668756566942	500.5	2023-03-24 10:26:58
65.4436276294291	-19.666875069961	497.65	2023-03-24 10:27:09
65.4436311498284	-19.6668905764818	498.53	2023-03-24 10:27:10
65.4436381906271	-19.6669408679008	501.74	2023-03-24 10:27:17
65.4436364304274	-19.6669382695109	500.8	2023-03-24 10:27:18
65.4436323232949	-19.6669287979603	501.43	2023-03-24 10:27:19
65.4435970354825	-19.6668598148972	500.94	2023-03-24 10:27:23
65.4434656072408	-19.6665868163109	498.98	2023-03-24 10:27:37
65.4434456583112	-19.666560580954	498.54	2023-03-24 10:27:39
65.4433160740882	-19.6662886720151	496.98	2023-03-24 10:27:52
65.4431870765984	-19.6661237161607	496.62	2023-03-24 10:28:05
65.4431137349457	-19.6660020947456	495.68	2023-03-24 10:28:17
65.4431075323373	-19.6659918688238	495.76	2023-03-24 10:28:18
65.4430610127747	-19.6659572515637	495.55	2023-03-24 10:28:22
65.4430097155273	-19.6659145876765	494.87	2023-03-24 10:28:27
65.4429709911346	-19.6658321097493	493.51	2023-03-24 10:28:32
65.442945593968	-19.6657551638782	493.31	2023-03-24 10:28:36
65.4428651276976	-19.6655918844044	493.02	2023-03-24 10:28:44
65.4428072925657	-19.6654968336225	492.38	2023-03-24 10:28:49
65.4427197854966	-19.6654220670462	492	2023-03-24 10:28:56
65.442612580955	-19.6652584522963	491.18	2023-03-24 10:29:09
65.4425705038011	-19.6652095019817	491.97	2023-03-24 10:29:13
65.442509399727	-19.6651312988251	490.2	2023-03-24 10:29:19
65.4423870239407	-19.6650129463524	490.93	2023-03-24 10:29:31
65.4423079825938	-19.6648920793086	490.42	2023-03-24 10:29:39
65.4422878660262	-19.6648739743978	490.84	2023-03-24 10:29:41
65.4421952459961	-19.6647152211517	490.87	2023-03-24 10:29:51
65.4420484788716	-19.6644404623657	488.93	2023-03-24 10:30:06
